policy_id,policy_number,customer_id,product_code,line_of_business,policy_start_date,policy_end_date,policy_status,gross_written_premium,net_written_premium,sum_insured,branch_code
POL00117,PN-2023-00117,CUST0065,LIAB-GEN,Liability,2023-11-06,2024-11-05,Expired,95397.85,87080.78,1147874.34,BR-DEL
POL00118,PN-2023-00118,CUST0092,PROP-FIRE,Property,2023-10-30,2024-10-29,Cancelled,127904.88,115300.46,1040847.12,BR-PUN
POL00119,PN-2023-00119,CUST0013,LIAB-GEN,Liability,2023-10-21,2024-10-20,Expired,69120.13,65957.96,810300.62,BR-BLR
POL00120,PN-2023-00120,CUST0159,PROP-FIRE,Property,2023-05-21,2024-05-20,Expired,137442.48,128374.61,1821368.37,BR-MUM
POL00121,PN-2023-00121,CUST0009,PROP-BURG,Property,2023-05-15,2024-05-14,Expired,58364.36,55281.12,641183.93,BR-BLR
POL00122,PN-2024-00122,CUST0139,PROP-BURG,Property,2024-06-27,2025-06-27,Active,55428.56,48299.94,1304723.57,BR-MUM
POL00123,PN-2023-00123,CUST0076,PROP-BURG,Property,2023-04-28,2024-04-27,Expired,29788.92,28241.08,352565.27,BR-PUN
POL00124,PN-2023-00124,CUST0102,PROP-BURG,Property,2023-04-03,2024-04-02,Expired,21809.43,20059.32,343092.05,BR-PUN
POL00125,PN-2024-00125,CUST0068,MARINE-CARGO,Marine,2024-01-16,2025-01-15,Active,69749.72,59514.17,1606475.02,BR-DEL
POL00126,PN-2023-00126,CUST0084,HEALTH-FAM,Health,2023-03-06,2024-03-05,Expired,49820.07,46887.66,948428.19,BR-HYD
POL00127,PN-2023-00127,CUST0036,MOTOR-COMP,Motor,2023-02-08,2024-02-08,Expired,26227.11,22624.42,605411.09,BR-BLR
POL00128,PN-2024-00128,CUST0100,LIAB-GEN,Liability,2024-01-15,2025-01-14,Active,156333.82,152109.15,2364573.23,BR-PUN
POL00129,PN-2023-00129,CUST0040,MARINE-CARGO,Marine,2023-04-12,2024-04-11,Expired,134660.88,130900.73,1717677.95,BR-PUN
POL00130,PN-2024-00130,CUST0095,HEALTH-FAM,Health,2024-03-30,2025-03-30,Active,32708.45,29344.36,807106.23,BR-CHN
POL00131,PN-2023-00131,CUST0140,PROP-BURG,Property,2023-03-04,2024-03-03,Expired,44675.11,38683.32,1001462.47,BR-MUM
POL00132,PN-2023-00132,CUST0024,HEALTH-FAM,Health,2023-01-22,2024-01-22,Cancelled,40013.19,39154.78,855427.09,BR-BLR
POL00133,PN-2024-00133,CUST0018,HEALTH-FAM,Health,2024-08-23,2025-08-23,Active,80227.16,71619.81,843060.78,BR-DEL
POL00134,PN-2023-00134,CUST0001,PROP-FIRE,Property,2023-05-29,2024-05-28,Expired,90228.01,86060.09,890437.49,BR-HYD
POL00135,PN-2024-00135,CUST0034,MOTOR-COMP,Motor,2024-01-02,2025-01-01,Active,16803.47,14990.21,184202.75,BR-HYD
POL00136,PN-2024-00136,CUST0033,MARINE-CARGO,Marine,2024-06-22,2025-06-22,Active,40804.87,37062.08,577579.17,BR-DEL
POL00137,PN-2024-00137,CUST0028,LIAB-GEN,Liability,2024-05-30,2025-05-30,Active,134568.16,127105.22,3155459.0,BR-PUN
POL00138,PN-2024-00138,CUST0134,PROP-FIRE,Property,2024-04-14,2025-04-14,Active,24049.58,23564.17,538808.6,BR-MUM
POL00139,PN-2024-00139,CUST0028,LIAB-GEN,Liability,2024-03-30,2025-03-30,Cancelled,43734.38,40632.68,398708.76,BR-CHN
POL00140,PN-2024-00140,CUST0160,PROP-BURG,Property,2024-01-26,2025-01-25,Active,88972.39,80874.39,1627505.69,BR-HYD
POL00141,PN-2024-00141,CUST0030,HEALTH-FAM,Health,2024-03-16,2025-03-16,Active,32137.02,28732.46,504855.92,BR-MUM
POL00142,PN-2024-00142,CUST0025,PROP-BURG,Property,2024-03-13,2025-03-13,Active,53135.67,51752.39,1045495.19,BR-MUM
POL00143,PN-2023-00143,CUST0018,MOTOR-TP,Motor,2023-03-29,2024-03-28,Expired,11572.88,10948.45,252289.68,BR-DEL
POL00144,PN-2023-00144,CUST0016,PROP-BURG,Property,2023-05-06,2024-05-05,Expired,133568.96,129875.36,2028902.69,BR-PUN
POL00145,PN-2023-00145,CUST0014,PROP-FIRE,Property,2023-11-16,2024-11-15,Expired,95129.41,83490.9,1823109.21,BR-BLR
POL00146,PN-2024-00146,CUST0028,PROP-BURG,Property,2024-07-23,2025-07-23,Active,119138.73,110159.6,2588022.43,BR-DEL
POL00147,PN-2023-00147,CUST0160,MOTOR-COMP,Motor,2023-10-01,2024-09-30,Cancelled,18111.0,17189.39,428617.42,BR-CHN
POL00148,PN-2023-00148,CUST0002,HEALTH-IND,Health,2023-05-27,2024-05-26,Expired,45058.83,39131.06,845480.47,BR-HYD
POL00149,PN-2024-00149,CUST0024,HEALTH-FAM,Health,2024-01-21,2025-01-20,Active,40567.2,36433.68,822180.78,BR-DEL
POL00150,PN-2023-00150,CUST0153,MOTOR-TP,Motor,2023-02-23,2024-02-23,Expired,35914.13,30759.34,337121.84,BR-MUM
POL00151,PN-2024-00151,CUST0109,LIAB-GEN,Liability,2024-03-28,2025-03-28,Active,66646.72,61088.72,924252.62,BR-HYD
POL00152,PN-2024-00152,CUST0073,LIAB-GEN,Liability,2024-06-23,2025-06-23,Active,37720.95,34001.07,686088.41,BR-HYD
POL00153,PN-2023-00153,CUST0053,PROP-FIRE,Property,2023-08-05,2024-08-04,Expired,119340.92,105930.36,1198151.07,BR-MUM
POL00154,PN-2023-00154,CUST0111,HEALTH-IND,Health,2023-05-13,2024-05-12,Expired,67775.34,62016.75,1502377.41,BR-CHN
POL00155,PN-2023-00155,CUST0019,MARINE-CARGO,Marine,2023-02-13,2024-02-13,Expired,108158.22,93029.28,1440887.13,BR-MUM
POL00156,PN-2024-00156,CUST0147,MARINE-CARGO,Marine,2024-03-03,2025-03-03,Active,98855.49,96444.01,1079684.25,BR-DEL
POL00157,PN-2023-00157,CUST0118,PROP-BURG,Property,2023-04-01,2024-03-31,Expired,33762.21,30610.1,499938.88,BR-HYD
POL00158,PN-2023-00158,CUST0102,PROP-FIRE,Property,2023-12-14,2024-12-13,Active,121285.32,104296.8,2275897.12,BR-DEL
POL00159,PN-2023-00159,CUST0131,HEALTH-FAM,Health,2023-12-24,2024-12-23,Active,86866.75,81125.52,913032.71,BR-HYD
POL00160,PN-2023-00160,CUST0038,PROP-FIRE,Property,2023-07-22,2024-07-21,Expired,39873.07,37827.18,370062.19,BR-PUN
POL00161,PN-2024-00161,CUST0127,LIAB-GEN,Liability,2024-07-31,2025-07-31,Active,106313.89,103139.36,1870737.52,BR-PUN
POL00162,PN-2023-00162,CUST0160,PROP-BURG,Property,2023-11-20,2024-11-19,Expired,28877.21,26205.69,379676.04,BR-CHN
POL00163,PN-2023-00163,CUST0152,MOTOR-COMP,Motor,2023-12-27,2024-12-26,Active,19485.09,17707.05,174725.35,BR-CHN
POL00164,PN-2024-00164,CUST0020,MOTOR-TP,Motor,2024-08-31,2025-08-31,Active,25120.33,23162.48,539104.95,BR-HYD
POL00165,PN-2023-00165,CUST0116,HEALTH-FAM,Health,2023-11-26,2024-11-25,Expired,52602.55,51261.39,823697.69,BR-CHN
POL00166,PN-2023-00166,CUST0022,HEALTH-IND,Health,2023-02-10,2024-02-10,Expired,47831.87,43389.48,807723.23,BR-BLR
POL00167,PN-2023-00167,CUST0094,PROP-BURG,Property,2023-10-17,2024-10-16,Expired,120680.42,113229.21,1072874.74,BR-PUN
POL00168,PN-2023-00168,CUST0086,MOTOR-TP,Motor,2023-12-04,2024-12-03,Active,33100.04,29357.72,672045.74,BR-PUN
POL00169,PN-2023-00169,CUST0155,HEALTH-IND,Health,2023-12-08,2024-12-07,Active,64770.91,62774.48,859765.14,BR-PUN
POL00170,PN-2024-00170,CUST0101,HEALTH-IND,Health,2024-09-01,2025-09-01,Active,21353.93,19702.41,404430.31,BR-CHN
POL00171,PN-2024-00171,CUST0033,MOTOR-TP,Motor,2024-03-09,2025-03-09,Active,8674.53,7721.66,209662.33,BR-CHN
POL00172,PN-2023-00172,CUST0125,HEALTH-FAM,Health,2023-08-20,2024-08-19,Expired,26620.89,23651.41,569634.95,BR-DEL
POL00173,PN-2023-00173,CUST0139,MOTOR-COMP,Motor,2023-12-11,2024-12-10,Active,30867.16,28633.68,327880.14,BR-BLR
POL00174,PN-2024-00174,CUST0160,HEALTH-IND,Health,2024-03-24,2025-03-24,Cancelled,42322.46,39933.19,1036181.05,BR-DEL
POL00175,PN-2023-00175,CUST0073,LIAB-GEN,Liability,2023-08-28,2024-08-27,Expired,82609.54,78902.11,1319544.1,BR-BLR
POL00176,PN-2024-00176,CUST0095,LIAB-GEN,Liability,2024-04-17,2025-04-17,Active,162281.09,148548.52,2453241.22,BR-BLR
POL00177,PN-2023-00177,CUST0052,HEALTH-IND,Health,2023-09-14,2024-09-13,Cancelled,51044.3,45850.93,1219090.53,BR-PUN
POL00178,PN-2023-00178,CUST0133,MOTOR-TP,Motor,2023-10-19,2024-10-18,Expired,13931.56,12655.59,233033.16,BR-MUM
POL00179,PN-2024-00179,CUST0024,HEALTH-FAM,Health,2024-04-06,2025-04-06,Active,84785.39,76640.62,1249712.69,BR-CHN
POL00180,PN-2023-00180,CUST0061,MARINE-CARGO,Marine,2023-03-25,2024-03-24,Expired,34791.88,33783.17,774675.89,BR-PUN
POL00181,PN-2023-00181,CUST0086,HEALTH-IND,Health,2023-05-21,2024-05-20,Cancelled,83804.71,76381.22,1854504.23,BR-PUN
POL00182,PN-2023-00182,CUST0121,LIAB-GEN,Liability,2023-01-06,2024-01-06,Expired,33230.66,29177.69,350312.09,BR-PUN
POL00183,PN-2023-00183,CUST0156,MARINE-CARGO,Marine,2023-04-24,2024-04-23,Expired,70398.84,60954.15,848550.42,BR-PUN
POL00184,PN-2023-00184,CUST0160,LIAB-GEN,Liability,2023-03-06,2024-03-05,Expired,183874.97,170558.02,1522374.61,BR-DEL
POL00185,PN-2023-00185,CUST0148,HEALTH-FAM,Health,2023-05-28,2024-05-27,Expired,15117.33,13543.1,267596.14,BR-BLR
POL00186,PN-2023-00186,CUST0022,PROP-BURG,Property,2023-03-11,2024-03-10,Expired,90730.65,86396.77,1508812.97,BR-HYD
POL00187,PN-2023-00187,CUST0100,LIAB-GEN,Liability,2023-02-14,2024-02-14,Expired,196776.7,173748.81,1628547.17,BR-HYD
POL00188,PN-2023-00188,CUST0089,HEALTH-FAM,Health,2023-04-17,2024-04-16,Expired,70139.02,62650.1,613976.41,BR-DEL
POL00189,PN-2024-00189,CUST0087,HEALTH-IND,Health,2024-04-20,2025-04-20,Active,50889.84,44462.26,523783.37,BR-PUN
