claim_id,policy_id,claim_date,claim_status,paid_amount,reserve_amount,claim_type
CLM00039,POL00108,2023-10-10,Closed,166909.76,0.0,Natural Calamity
CLM00040,POL00115,2024-08-03,Closed,3974.95,0.0,Fire
CLM00041,POL00115,2024-08-09,Closed,8847.3,0.0,Fire
CLM00042,POL00116,2023-09-16,Open,3288.89,7829.85,Burglary
CLM00043,POL00117,2024-05-23,Closed,39468.27,0.0,Fire
CLM00044,POL00120,2023-12-20,Reopened,63216.66,12451.94,Fire
CLM00045,POL00121,2023-12-27,Open,12670.72,36240.98,Burglary
CLM00046,POL00122,2024-08-16,Open,3442.07,45058.08,Natural Calamity
CLM00047,POL00123,2024-01-16,Closed,6805.1,0.0,Fire
CLM00048,POL00124,2023-08-11,Closed,6249.11,0.0,Accidental Damage
CLM00049,POL00125,2024-02-11,Open,5358.55,39124.8,Burglary
CLM00050,POL00126,2024-03-02,Closed,17634.98,0.0,Accidental Damage
CLM00051,POL00128,2024-08-08,Closed,29465.68,0.0,Fire
CLM00052,POL00130,2024-09-04,Closed,16310.15,0.0,Natural Calamity
CLM00053,POL00131,2023-10-18,Closed,29020.28,0.0,Theft
CLM00054,POL00133,2024-09-06,Closed,25359.4,0.0,Medical Reimbursement
CLM00055,POL00142,2024-05-01,Closed,25638.52,0.0,Accidental Damage
CLM00056,POL00144,2023-08-23,Reopened,34190.72,15966.81,Natural Calamity
CLM00057,POL00150,2023-08-11,Closed,2453.37,0.0,Fire
CLM00058,POL00153,2024-02-19,Closed,57655.22,0.0,Third Party Liability
CLM00059,POL00159,2024-01-30,Closed,47949.22,0.0,Natural Calamity
CLM00060,POL00162,2024-07-01,Closed,28246.58,0.0,Theft
CLM00061,POL00163,2024-10-01,Closed,4062.86,0.0,Burglary
CLM00062,POL00167,2023-12-28,Closed,6185.77,0.0,Medical Reimbursement
CLM00063,POL00169,2024-06-01,Closed,17903.13,0.0,Theft
CLM00064,POL00170,2024-10-03,Closed,6981.68,0.0,Burglary
CLM00065,POL00171,2024-10-31,Closed,2179.05,0.0,Fire
CLM00066,POL00172,2024-04-25,Reopened,4717.61,1881.08,Accidental Damage
CLM00067,POL00175,2024-01-31,Open,8185.04,17149.36,Third Party Liability
CLM00068,POL00178,2024-10-17,Open,205.41,3618.1,Natural Calamity
CLM00069,POL00179,2024-07-29,Closed,18838.36,0.0,Theft
CLM00070,POL00182,2023-10-08,Closed,13073.53,0.0,Natural Calamity
CLM00071,POL00183,2024-01-08,Closed,54126.13,0.0,Burglary
CLM00072,POL00183,2024-02-20,Closed,15886.16,0.0,Medical Reimbursement
CLM00073,POL00184,2023-09-09,Closed,151514.13,0.0,Burglary
CLM00074,POL00186,2023-11-27,Closed,92494.49,0.0,Burglary
CLM00075,POL00190,2024-08-12,Reopened,8058.39,2666.85,Fire
CLM00076,POL00190,2023-11-17,Closed,40428.55,0.0,Accidental Damage
CLM00077,POL00192,2023-11-22,Closed,106779.76,0.0,Fire
CLM00078,POL00193,2024-11-01,Open,7267.61,26109.86,Theft
CLM00079,POL00194,2024-04-24,Closed,9627.08,0.0,Medical Reimbursement
CLM00080,POL00197,2024-11-10,Closed,88546.13,0.0,Theft
CLM00081,POL00199,2024-05-29,Closed,6990.42,0.0,Burglary
CLM00082,POL00200,2024-05-05,Open,1786.32,19408.34,Theft
CLM00083,POL00203,2024-10-20,Closed,108530.88,0.0,Accidental Damage
CLM00084,POL00203,2024-03-16,Closed,8693.32,0.0,Medical Reimbursement
CLM00085,POL00211,2024-10-28,Reopened,1329.76,637.21,Burglary
CLM00086,POL00215,2024-01-15,Closed,14461.08,0.0,Theft
CLM00087,POL00216,2024-10-18,Open,1119.81,14659.01,Medical Reimbursement
