uw_id,policy_id,underwriter_id,risk_score,risk_category,uw_decision,uw_date,premium_loading_percentage,discount_percentage,manual_override_flag
UWT00065,POL00065,UW006,715,Low,Approved,2024-04-08,0.73,13.94,N
UWT00066,POL00066,UW011,332,High,Referred,2024-04-18,12.59,16.13,N
UWT00067,POL00067,UW007,639,Medium,Approved,2023-01-28,8.58,0.95,Y
UWT00068,POL00068,UW012,880,Low,Approved,2024-07-21,0.14,1.49,N
UWT00069,POL00069,UW011,333,High,Approved,2023-06-10,22.01,0.08,Y
UWT00070,POL00070,UW002,606,Medium,Approved,2023-07-17,2.4,8.35,N
UWT00071,POL00071,UW007,443,High,Approved,2024-07-31,18.79,0.39,N
UWT00072,POL00072,UW007,537,Medium,Approved,2024-02-29,3.41,7.69,N
UWT00073,POL00073,UW001,579,Medium,Approved,2023-06-27,4.51,2.28,N
UWT00074,POL00074,UW011,899,Low,Approved,2024-03-20,0.26,12.37,N
UWT00075,POL00075,UW005,457,High,Approved,2023-09-05,20.68,0.77,N
UWT00076,POL00076,UW001,615,Medium,Approved,2024-05-05,7.61,22.03,N
UWT00077,POL00077,UW007,405,High,Declined,2024-06-06,12.08,0.47,N
UWT00078,POL00078,UW001,598,Medium,Approved,2024-03-30,7.79,7.25,N
UWT00079,POL00079,UW010,833,Low,Approved,2024-04-27,1.14,2.78,N
UWT00080,POL00080,UW003,745,Low,Approved,2023-11-02,0.9,15.65,N
UWT00081,POL00081,UW010,500,Medium,Approved,2023-08-03,1.35,0.07,N
UWT00082,POL00082,UW006,750,Low,Approved,2023-07-12,2.45,17.19,Y
UWT00083,POL00083,UW010,505,Medium,Approved,2023-02-17,1.78,3.98,N
UWT00084,POL00084,UW010,548,Medium,Approved,2024-08-06,2.8,7.86,N
UWT00085,POL00085,UW010,858,Low,Approved,2023-03-04,2.3,0.54,N
UWT00086,POL00086,UW008,598,Medium,Approved,2023-03-26,0.69,8.48,N
UWT00087,POL00087,UW011,610,Medium,Approved,2024-03-27,6.59,7.15,Y
UWT00088,POL00088,UW008,896,Low,Approved,2023-04-06,1.52,18.41,N
UWT00089,POL00089,UW012,849,Low,Approved,2024-07-16,2.74,2.19,N
UWT00090,POL00090,UW011,345,High,Approved,2023-10-16,17.9,3.23,N
UWT00091,POL00091,UW002,310,High,Referred,2024-03-07,9.44,3.73,N
UWT00092,POL00092,UW008,683,Medium,Approved,2023-06-18,7.72,5.89,N
UWT00093,POL00093,UW008,407,High,Approved,2023-11-02,23.41,0.43,N
UWT00094,POL00094,UW005,651,Medium,Approved,2024-03-10,2.07,4.83,N
UWT00095,POL00095,UW006,368,High,Approved,2023-09-30,21.2,0.58,N
UWT00096,POL00096,UW012,549,Medium,Approved,2024-08-15,5.52,3.31,N
UWT00097,POL00097,UW011,488,High,Approved,2023-04-10,18.15,1.98,N
UWT00098,POL00098,UW010,739,Low,Approved,2024-04-08,2.11,4.12,N
UWT00099,POL00099,UW010,404,High,Approved,2024-02-20,15.74,1.83,Y
UWT00100,POL00100,UW009,620,Medium,Approved,2023-09-21,6.11,5.87,N
UWT00101,POL00101,UW003,604,Medium,Approved,2023-06-10,5.9,6.72,N
UWT00102,POL00102,UW003,682,Medium,Approved,2023-06-04,5.11,4.18,N
UWT00103,POL00103,UW008,850,Low,Approved,2024-04-09,1.94,20.0,N
UWT00104,POL00104,UW003,622,Medium,Approved,2024-02-25,6.19,8.66,N
UWT00105,POL00105,UW007,875,Low,Approved,2023-05-25,1.48,13.69,N
UWT00106,POL00106,UW003,384,High,Approved,2023-07-05,20.92,19.15,N
UWT00107,POL00107,UW010,807,Low,Approved,2024-04-23,0.34,2.28,N
UWT00108,POL00108,UW009,342,High,Approved,2023-02-03,13.83,1.09,N
UWT00109,POL00109,UW005,333,High,Approved,2023-01-12,11.97,4.08,N
UWT00110,POL00110,UW004,659,Medium,Approved,2024-02-08,6.1,4.28,N
UWT00111,POL00111,UW001,883,Low,Approved,2024-07-03,0.84,10.78,N
UWT00112,POL00112,UW010,573,Medium,Approved,2023-04-04,5.14,9.0,Y
UWT00113,POL00113,UW001,583,Medium,Approved,2023-11-25,1.27,8.66,N
UWT00114,POL00114,UW011,702,Low,Approved,2023-06-22,1.73,5.37,N
UWT00115,POL00115,UW007,827,Low,Approved,2023-08-16,2.08,17.55,N
UWT00116,POL00116,UW001,395,High,Approved,2023-03-08,14.17,3.32,Y
UWT00117,POL00117,UW007,523,Medium,Approved,2023-10-28,8.25,4.95,N
UWT00118,POL00118,UW010,433,High,Approved,2023-10-28,14.71,1.72,Y
UWT00119,POL00119,UW011,770,Low,Declined,2023-10-14,2.79,3.16,N
UWT00120,POL00120,UW004,435,High,Approved,2023-05-15,11.04,4.37,Y
UWT00121,POL00121,UW005,384,High,Approved,2023-05-11,23.08,0.83,N
UWT00122,POL00122,UW007,393,High,Approved,2024-06-19,5.02,2.38,N
UWT00123,POL00123,UW001,308,High,Approved,2023-04-26,21.34,4.94,Y
UWT00124,POL00124,UW004,692,Medium,Referred,2023-03-27,8.06,1.03,N
UWT00125,POL00125,UW003,446,High,Referred,2024-01-12,16.27,3.05,N
UWT00126,POL00126,UW011,455,High,Approved,2023-03-03,17.32,2.21,N
UWT00127,POL00127,UW002,693,Medium,Approved,2023-02-04,4.29,7.91,N
UWT00128,POL00128,UW009,591,Medium,Approved,2024-01-06,6.9,8.48,N
UWT00129,POL00129,UW010,821,Low,Approved,2023-04-08,1.18,12.92,N
UWT00130,POL00130,UW008,695,Medium,Referred,2024-03-24,5.0,5.94,N
UWT00131,POL00131,UW006,435,High,Approved,2023-02-24,21.78,2.1,N
UWT00132,POL00132,UW002,317,High,Approved,2023-01-15,5.28,1.08,N
UWT00133,POL00133,UW009,593,Medium,Approved,2024-08-14,5.01,4.15,Y
UWT00134,POL00134,UW009,456,High,Approved,2023-05-20,11.2,2.56,N
UWT00135,POL00135,UW006,700,Low,Approved,2023-12-26,2.29,13.0,N
UWT00136,POL00136,UW012,544,Medium,Declined,2024-06-17,0.86,4.34,N
UWT00137,POL00137,UW011,479,High,Referred,2024-05-21,19.16,3.51,N
UWT00138,POL00138,UW009,565,Medium,Approved,2024-04-13,1.27,7.81,N
UWT00139,POL00139,UW006,739,Low,Approved,2024-03-22,0.19,14.25,Y
UWT00140,POL00140,UW009,668,Medium,Declined,2024-01-16,8.59,1.67,N
UWT00141,POL00141,UW011,418,High,Approved,2024-03-08,15.18,0.22,N
UWT00142,POL00142,UW006,692,Medium,Approved,2024-03-06,1.79,27.24,N
UWT00143,POL00143,UW004,629,Medium,Approved,2023-03-27,9.16,3.2,N
UWT00144,POL00144,UW009,353,High,Approved,2023-04-28,21.09,4.91,Y
UWT00145,POL00145,UW005,618,Medium,Approved,2023-11-11,5.53,0.08,N
UWT00146,POL00146,UW012,548,Medium,Approved,2024-07-14,5.92,4.93,N
UWT00147,POL00147,UW004,454,High,Declined,2023-09-30,13.2,1.16,N
UWT00148,POL00148,UW006,301,High,Approved,2023-05-23,12.53,3.69,N
UWT00149,POL00149,UW007,803,Low,Approved,2024-01-17,2.92,2.85,Y
UWT00150,POL00150,UW009,722,Low,Approved,2023-02-16,1.12,17.34,Y
UWT00151,POL00151,UW002,881,Low,Referred,2024-03-21,1.99,2.61,N
UWT00152,POL00152,UW012,634,Medium,Approved,2024-06-13,2.72,0.75,N
UWT00153,POL00153,UW002,459,High,Referred,2023-08-01,13.99,1.57,N
UWT00154,POL00154,UW008,615,Medium,Approved,2023-05-03,8.52,0.9,N
UWT00155,POL00155,UW001,520,Medium,Approved,2023-02-04,3.28,0.91,N
UWT00156,POL00156,UW001,606,Medium,Approved,2024-02-23,9.91,0.31,N
UWT00157,POL00157,UW004,396,High,Approved,2023-03-29,21.08,27.63,N
UWT00158,POL00158,UW004,710,Low,Approved,2023-12-12,1.89,12.89,N
UWT00159,POL00159,UW001,366,High,Approved,2023-12-22,17.92,27.86,N
UWT00160,POL00160,UW001,772,Low,Declined,2023-07-15,2.77,8.66,N
UWT00161,POL00161,UW011,736,Low,Approved,2024-07-30,0.64,3.74,N
UWT00162,POL00162,UW010,551,Medium,Approved,2023-11-13,4.99,8.83,Y
UWT00163,POL00163,UW003,729,Low,Approved,2023-12-26,2.65,10.52,N
UWT00164,POL00164,UW007,667,Medium,Approved,2024-08-26,7.81,3.44,N
UWT00165,POL00165,UW003,326,High,Approved,2023-11-18,9.38,4.48,Y
UWT00166,POL00166,UW009,666,Medium,Approved,2023-02-09,10.0,25.2,N
UWT00167,POL00167,UW004,889,Low,Approved,2023-10-14,2.39,7.1,N
UWT00168,POL00168,UW004,625,Medium,Approved,2023-11-24,6.98,25.81,N
UWT00169,POL00169,UW003,876,Low,Approved,2023-12-05,2.51,16.21,N
UWT00170,POL00170,UW008,338,High,Referred,2024-08-22,9.65,1.09,Y
UWT00171,POL00171,UW004,433,High,Approved,2024-03-06,8.55,4.01,Y
UWT00172,POL00172,UW010,445,High,Approved,2023-08-13,21.93,4.3,N
UWT00173,POL00173,UW010,403,High,Approved,2023-12-03,11.45,4.88,N
UWT00174,POL00174,UW011,624,Medium,Approved,2024-03-20,9.69,6.94,N
UWT00175,POL00175,UW011,479,High,Approved,2023-08-18,19.68,1.47,Y
UWT00176,POL00176,UW007,881,Low,Declined,2024-04-07,1.81,18.42,N
UWT00177,POL00177,UW002,808,Low,Approved,2023-09-12,2.24,4.76,N
UWT00178,POL00178,UW012,643,Medium,Approved,2023-10-18,2.65,19.59,Y
UWT00179,POL00179,UW001,695,Medium,Approved,2024-03-31,4.2,1.66,N
UWT00180,POL00180,UW009,684,Medium,Referred,2023-03-22,4.79,8.64,N
UWT00181,POL00181,UW008,375,High,Approved,2023-05-15,5.67,0.1,Y
UWT00182,POL00182,UW003,684,Medium,Approved,2022-12-27,0.75,9.42,N
UWT00183,POL00183,UW008,331,High,Approved,2023-04-18,18.07,3.04,Y
UWT00184,POL00184,UW004,494,High,Approved,2023-03-01,16.08,4.63,N
UWT00185,POL00185,UW004,398,High,Declined,2023-05-21,16.44,4.2,N
UWT00186,POL00186,UW002,601,Medium,Approved,2023-03-09,6.25,18.9,N
UWT00187,POL00187,UW008,418,High,Approved,2023-02-05,12.95,2.45,Y
UWT00188,POL00188,UW007,489,High,Approved,2023-04-12,12.63,22.16,N
UWT00189,POL00189,UW010,363,High,Approved,2024-04-13,18.93,0.48,N
UWT00190,POL00190,UW010,532,Medium,Approved,2023-10-20,8.41,8.18,N
UWT00191,POL00191,UW010,541,Medium,Approved,2024-07-01,0.79,9.03,N
UWT00192,POL00192,UW010,450,High,Approved,2023-05-04,20.14,0.86,N
UWT00193,POL00193,UW003,343,High,Approved,2024-05-13,24.77,2.18,N
UWT00194,POL00194,UW005,627,Medium,Approved,2024-03-10,9.14,0.67,N
UWT00195,POL00195,UW005,832,Low,Approved,2023-11-03,2.62,15.73,N
UWT00196,POL00196,UW002,724,Low,Approved,2024-03-19,1.7,11.65,Y
UWT00197,POL00197,UW010,403,High,Approved,2024-06-01,22.35,4.4,N
UWT00198,POL00198,UW010,784,Low,Declined,2023-05-09,0.83,2.88,N
UWT00199,POL00199,UW007,639,Medium,Approved,2024-03-30,0.49,4.75,N
UWT00200,POL00200,UW005,618,Medium,Approved,2023-11-10,4.92,28.16,Y
UWT00201,POL00201,UW006,575,Medium,Approved,2024-07-22,6.05,0.89,N
UWT00202,POL00202,UW012,796,Low,Approved,2023-07-19,2.6,16.42,N
UWT00203,POL00203,UW012,818,Low,Approved,2023-12-18,2.34,10.49,N
UWT00204,POL00204,UW001,555,Medium,Declined,2024-05-27,0.51,3.6,N
UWT00205,POL00205,UW009,706,Low,Approved,2024-07-18,0.37,0.61,N
UWT00206,POL00206,UW008,900,Low,Approved,2024-02-10,1.03,16.75,N
UWT00207,POL00207,UW005,328,High,Approved,2023-11-17,8.26,2.86,N
UWT00208,POL00208,UW011,511,Medium,Approved,2023-05-12,4.1,0.2,N
UWT00209,POL00209,UW008,435,High,Approved,2023-06-10,17.02,0.04,N
UWT00210,POL00210,UW012,581,Medium,Approved,2023-07-12,3.76,3.49,N
UWT00211,POL00211,UW010,706,Low,Approved,2024-08-20,0.02,19.99,N
UWT00212,POL00212,UW011,589,Medium,Approved,2023-01-25,1.08,0.64,N
UWT00213,POL00213,UW005,605,Medium,Approved,2023-01-25,5.17,28.0,N
UWT00214,POL00214,UW011,627,Medium,Approved,2023-10-25,7.21,6.55,N
UWT00215,POL00215,UW007,697,Medium,Approved,2023-05-24,5.83,9.95,N
UWT00216,POL00216,UW011,847,Low,Approved,2024-06-08,1.43,18.81,N
UWT00217,POL00217,UW011,871,Low,Approved,2023-02-18,0.29,2.56,N
UWT00218,POL00218,UW011,643,Medium,Approved,2023-07-08,2.22,2.23,N
UWT00219,POL00219,UW006,566,Medium,Approved,2023-03-24,4.64,24.88,N
UWT00220,POL00220,UW002,783,Low,Approved,2023-10-15,1.5,17.35,N
