expense_id,policy_id,expense_type,expense_amount,expense_date
EXP00275,POL00110,Agent Commission,15412.32,2024-02-13
EXP00276,POL00110,Policy Admin,6215.05,2024-11-16
EXP00277,POL00110,IT Allocation,4863.47,2024-05-06
EXP00278,POL00111,Agent Commission,6049.56,2024-07-10
EXP00279,POL00111,Policy Admin,1760.75,2024-09-16
EXP00280,POL00112,Agent Commission,15300.16,2023-04-16
EXP00281,POL00112,Survey Fee,7575.47,2023-11-18
EXP00282,POL00113,Broker Fee,1908.73,2023-11-30
EXP00283,POL00113,Policy Admin,457.62,2024-03-12
EXP00284,POL00114,Broker Fee,8097.22,2023-06-28
EXP00285,POL00114,IT Allocation,2662.48,2023-10-30
EXP00286,POL00115,Agent Commission,2786.03,2023-08-31
EXP00287,POL00115,Survey Fee,863.58,2024-07-10
EXP00288,POL00115,Policy Admin,1650.69,2024-03-14
EXP00289,POL00116,Broker Fee,5714.08,2023-03-20
EXP00290,POL00116,Policy Admin,1086.42,2023-07-20
EXP00291,POL00117,Agent Commission,10360.32,2023-11-08
EXP00292,POL00117,Policy Admin,2757.2,2024-02-27
EXP00293,POL00117,IT Allocation,2160.33,2024-06-27
EXP00294,POL00118,Broker Fee,14619.02,2023-11-02
EXP00295,POL00118,IT Allocation,4745.56,2023-11-30
EXP00296,POL00119,Broker Fee,9087.45,2023-10-26
EXP00297,POL00119,IT Allocation,2472.15,2024-08-18
EXP00298,POL00119,IT Allocation,2864.78,2024-09-23
EXP00299,POL00120,Agent Commission,18566.33,2023-05-24
EXP00300,POL00120,Policy Admin,7295.5,2023-06-21
EXP00301,POL00120,IT Allocation,5600.52,2023-12-19
EXP00302,POL00121,Broker Fee,4829.51,2023-05-19
EXP00303,POL00121,Survey Fee,1610.51,2024-01-05
EXP00304,POL00122,Broker Fee,7865.75,2024-06-30
EXP00305,POL00122,Policy Admin,2045.23,2025-05-16
EXP00306,POL00123,Agent Commission,3821.82,2023-05-01
EXP00307,POL00123,Policy Admin,703.54,2024-01-19
EXP00308,POL00123,IT Allocation,809.99,2024-03-02
EXP00309,POL00124,Broker Fee,2578.93,2023-04-06
EXP00310,POL00124,Survey Fee,829.53,2023-07-13
EXP00311,POL00124,Survey Fee,951.17,2023-07-25
EXP00312,POL00125,Broker Fee,6020.28,2024-01-21
EXP00313,POL00125,Policy Admin,3399.25,2024-03-29
EXP00314,POL00126,Broker Fee,4383.74,2023-03-11
EXP00315,POL00126,IT Allocation,1166.4,2023-09-28
EXP00316,POL00126,IT Allocation,2572.84,2023-12-02
EXP00317,POL00127,Broker Fee,3841.82,2023-02-12
EXP00318,POL00127,Survey Fee,570.6,2023-05-16
EXP00319,POL00127,Policy Admin,1117.79,2023-05-05
EXP00320,POL00128,Agent Commission,22014.51,2024-01-20
EXP00321,POL00128,IT Allocation,5750.47,2024-07-01
EXP00322,POL00129,Broker Fee,18018.18,2023-04-14
EXP00323,POL00129,Policy Admin,3326.41,2023-06-28
EXP00324,POL00130,Broker Fee,2624.76,2024-03-30
EXP00325,POL00130,IT Allocation,1305.23,2024-12-20
EXP00326,POL00130,Survey Fee,1710.59,2025-02-14
EXP00327,POL00131,Broker Fee,4317.92,2023-03-07
EXP00328,POL00131,IT Allocation,1683.14,2024-01-15
EXP00329,POL00131,Survey Fee,905.25,2023-12-19
EXP00330,POL00132,Agent Commission,4936.97,2023-01-22
EXP00331,POL00132,Policy Admin,1037.55,2023-07-29
EXP00332,POL00133,Agent Commission,7234.58,2024-08-28
EXP00333,POL00133,Policy Admin,2667.11,2024-10-16
EXP00334,POL00133,Policy Admin,1953.97,2024-12-02
EXP00335,POL00134,Agent Commission,11463.14,2023-06-01
EXP00336,POL00134,Survey Fee,5166.38,2023-07-25
EXP00337,POL00134,Policy Admin,2969.66,2023-12-19
EXP00338,POL00135,Agent Commission,2236.39,2024-01-04
EXP00339,POL00135,Survey Fee,426.5,2024-05-31
EXP00340,POL00135,Policy Admin,690.32,2024-10-06
EXP00341,POL00136,Agent Commission,5251.92,2024-06-22
EXP00342,POL00136,IT Allocation,1605.53,2025-05-07
EXP00343,POL00137,Broker Fee,13470.69,2024-06-01
EXP00344,POL00137,IT Allocation,7681.72,2025-04-19
EXP00345,POL00137,Survey Fee,5363.33,2025-04-28
EXP00346,POL00138,Agent Commission,2753.08,2024-04-18
EXP00347,POL00138,Policy Admin,1162.64,2024-08-01
EXP00348,POL00139,Broker Fee,3860.63,2024-04-04
EXP00349,POL00139,IT Allocation,2164.8,2024-07-24
EXP00350,POL00140,Broker Fee,13339.55,2024-01-26
EXP00351,POL00140,Policy Admin,3023.82,2024-12-27
EXP00352,POL00140,IT Allocation,1819.65,2024-05-18
EXP00353,POL00141,Agent Commission,3204.51,2024-03-18
EXP00354,POL00141,Policy Admin,1294.08,2024-09-07
EXP00355,POL00141,Survey Fee,789.08,2024-09-12
EXP00356,POL00142,Agent Commission,5723.96,2024-03-14
EXP00357,POL00142,IT Allocation,1765.2,2024-09-12
EXP00358,POL00143,Broker Fee,1313.96,2023-03-29
EXP00359,POL00143,Survey Fee,454.35,2024-02-23
EXP00360,POL00144,Broker Fee,19026.11,2023-05-09
EXP00361,POL00144,IT Allocation,7628.34,2023-06-13
EXP00362,POL00144,IT Allocation,4270.7,2023-10-24
EXP00363,POL00145,Agent Commission,11178.85,2023-11-20
EXP00364,POL00145,Policy Admin,4944.96,2024-05-25
EXP00365,POL00145,Policy Admin,5592.14,2024-04-17
EXP00366,POL00146,Broker Fee,12359.53,2024-07-28
EXP00367,POL00146,Policy Admin,5103.82,2025-02-17
EXP00368,POL00147,Broker Fee,2203.45,2023-10-06
EXP00369,POL00147,Survey Fee,876.46,2024-02-27
EXP00370,POL00147,Survey Fee,425.1,2024-02-09
EXP00371,POL00148,Broker Fee,5030.07,2023-05-28
EXP00372,POL00148,Policy Admin,1216.61,2023-12-14
EXP00373,POL00148,Survey Fee,2303.03,2023-07-23
EXP00374,POL00149,Broker Fee,4682.25,2024-01-25
EXP00375,POL00149,IT Allocation,1120.0,2024-10-04
EXP00376,POL00150,Broker Fee,5070.05,2023-02-25
EXP00377,POL00150,IT Allocation,1823.69,2023-04-24
EXP00378,POL00151,Agent Commission,8488.81,2024-03-29
EXP00379,POL00151,Policy Admin,2557.55,2024-12-30
EXP00380,POL00152,Agent Commission,3028.53,2024-06-28
EXP00381,POL00152,Policy Admin,1257.3,2024-07-26
EXP00382,POL00153,Broker Fee,13896.11,2023-08-05
EXP00383,POL00153,Survey Fee,5436.46,2023-11-30
EXP00384,POL00153,Survey Fee,3344.2,2024-01-08
EXP00385,POL00154,Broker Fee,7947.29,2023-05-18
EXP00386,POL00154,Survey Fee,2094.68,2023-08-11
EXP00387,POL00155,Agent Commission,9519.25,2023-02-14
EXP00388,POL00155,Policy Admin,4539.9,2023-07-11
EXP00389,POL00155,IT Allocation,6244.09,2023-07-18
EXP00390,POL00156,Agent Commission,9602.6,2024-03-05
EXP00391,POL00156,Policy Admin,4114.67,2024-04-07
EXP00392,POL00156,Policy Admin,2091.75,2024-04-07
EXP00393,POL00157,Agent Commission,3607.56,2023-04-04
EXP00394,POL00157,IT Allocation,916.96,2024-02-10
EXP00395,POL00157,IT Allocation,1525.34,2023-11-25
EXP00396,POL00158,Broker Fee,12722.07,2023-12-15
EXP00397,POL00158,IT Allocation,7149.44,2024-08-18
EXP00398,POL00159,Broker Fee,7750.74,2023-12-24
EXP00399,POL00159,IT Allocation,2815.84,2024-11-27
EXP00400,POL00159,Policy Admin,4400.65,2024-08-30
EXP00401,POL00160,Agent Commission,5834.28,2023-07-26
EXP00402,POL00160,Policy Admin,2253.41,2024-02-17
EXP00403,POL00160,Survey Fee,1913.29,2024-01-17
EXP00404,POL00161,Agent Commission,11878.43,2024-07-31
EXP00405,POL00161,Survey Fee,2606.34,2025-04-12
EXP00406,POL00161,Survey Fee,5722.95,2025-01-01
EXP00407,POL00162,Agent Commission,3532.0,2023-11-24
EXP00408,POL00162,Survey Fee,1046.15,2024-01-23
EXP00409,POL00163,Agent Commission,2317.37,2023-12-29
EXP00410,POL00163,Policy Admin,702.1,2024-08-04
EXP00411,POL00163,Policy Admin,873.61,2024-10-12
EXP00412,POL00164,Broker Fee,3722.14,2024-08-31
EXP00413,POL00164,Survey Fee,711.65,2025-07-09
EXP00414,POL00164,IT Allocation,1290.5,2025-04-20
EXP00415,POL00165,Agent Commission,7107.28,2023-11-27
EXP00416,POL00165,Survey Fee,2607.75,2024-09-24
EXP00417,POL00166,Broker Fee,4209.33,2023-02-12
EXP00418,POL00166,Survey Fee,2529.39,2023-05-21
EXP00419,POL00167,Agent Commission,17729.38,2023-10-21
EXP00420,POL00167,Survey Fee,5722.71,2024-08-27
EXP00421,POL00168,Agent Commission,3406.61,2023-12-04
EXP00422,POL00168,IT Allocation,1743.75,2024-10-06
EXP00423,POL00169,Agent Commission,8853.46,2023-12-13
EXP00424,POL00169,Survey Fee,2469.0,2024-05-15
EXP00425,POL00170,Broker Fee,2628.46,2024-09-02
EXP00426,POL00170,Survey Fee,1009.2,2025-02-20
EXP00427,POL00171,Broker Fee,1040.24,2024-03-12
EXP00428,POL00171,Policy Admin,517.1,2025-01-11
EXP00429,POL00171,Survey Fee,385.67,2024-12-05
EXP00430,POL00172,Broker Fee,3709.21,2023-08-20
EXP00431,POL00172,Policy Admin,1491.92,2023-09-26
EXP00432,POL00172,Policy Admin,1281.37,2024-02-29
EXP00433,POL00173,Agent Commission,4330.27,2023-12-12
EXP00434,POL00173,IT Allocation,1484.37,2024-07-09
EXP00435,POL00173,Survey Fee,1010.13,2024-07-03
EXP00436,POL00174,Agent Commission,4516.21,2024-03-29
EXP00437,POL00174,IT Allocation,1650.36,2024-07-08
EXP00438,POL00175,Broker Fee,8832.75,2023-08-31
EXP00439,POL00175,Policy Admin,2605.41,2023-11-10
EXP00440,POL00176,Agent Commission,13114.29,2024-04-18
EXP00441,POL00176,Policy Admin,7516.38,2024-07-05
EXP00442,POL00176,Survey Fee,4136.35,2024-11-25
EXP00443,POL00177,Broker Fee,7276.4,2023-09-18
EXP00444,POL00177,IT Allocation,1948.66,2024-04-28
EXP00445,POL00178,Broker Fee,1914.27,2023-10-21
EXP00446,POL00178,Policy Admin,382.17,2024-09-02
EXP00447,POL00179,Agent Commission,10212.88,2024-04-11
EXP00448,POL00179,IT Allocation,3089.03,2025-01-20
EXP00449,POL00179,IT Allocation,2940.26,2024-05-05
EXP00450,POL00180,Broker Fee,3960.32,2023-03-25
EXP00451,POL00180,Policy Admin,2034.26,2023-05-14
EXP00452,POL00180,Survey Fee,1712.02,2023-12-29
EXP00453,POL00181,Agent Commission,9431.85,2023-05-25
EXP00454,POL00181,IT Allocation,2498.16,2024-04-17
EXP00455,POL00182,Agent Commission,4202.4,2023-01-11
EXP00456,POL00182,IT Allocation,1479.48,2023-07-10
EXP00457,POL00182,Survey Fee,1699.45,2023-09-13
EXP00458,POL00183,Broker Fee,8158.27,2023-04-28
EXP00459,POL00183,Survey Fee,2593.54,2023-10-01
EXP00460,POL00183,IT Allocation,1879.67,2024-03-04
EXP00461,POL00184,Broker Fee,18623.77,2023-03-06
EXP00462,POL00184,Policy Admin,7929.73,2024-01-03
EXP00463,POL00184,IT Allocation,8504.73,2023-08-12
EXP00464,POL00185,Broker Fee,1870.05,2023-05-31
EXP00465,POL00185,Survey Fee,379.03,2023-07-16
EXP00466,POL00186,Broker Fee,8859.26,2023-03-13
